name,f1_score,roc_auc_score,total_actives,predicted_actives,version,f1,roc_auc,accuracy
voltage_dependent_l_type_calcium_channel_subunit_alpha_1c,0.8799999999999999,0.9217200709738024,26,24,py35,0.8679245283018868,0.9387329088821628,0.9908256880733946
lysine_specific_demethylase_5b,0.8750000000000001,0.8888888888888888,9,7,py35,0.823529411764706,0.8573422668900056,0.9926289926289926
methionine_aminopeptidase_1,0.8750000000000001,0.8888888888888888,9,7,py27,0.8421052631578948,0.9978813559322034,0.9937629937629938
serine_threonine_protein_kinase_receptor_r3,0.8750000000000001,0.8888888888888888,9,7,py35,0.8421052631578948,0.9967223861029172,0.9913793103448276
endoplasmin,0.8750000000000001,0.9976359338061466,7,9,py27,0.8571428571428571,0.9962850388382304,0.9953488372093025
protein_kinase_c_epsilon_type,0.8571428571428572,0.9025145959233842,26,23,py27,0.7555555555555555,0.9788487145344668,0.9858429858429858
corticosteroid_11_beta_dehydrogenase_isozyme_2,0.8571428571428571,0.875,8,6,py27,0.75,0.9870689655172412,0.9887640449438202
chymotrypsin_c,0.8571428571428571,0.875,4,3,py35,0.6666666666666665,0.9947368421052633,0.9896193771626296
7_8_dihydro_8_oxoguanine_triphosphatase,0.8571428571428571,0.875,8,6,py35,0.7999999999999999,0.8764705882352941,0.9831460674157304
retinal_rod_rhodopsin_sensitive_cgmp_3_5_cyclic_phosphodiesterase_subunit_delta,0.8571428571428571,0.9270562770562768,7,7,py35,0.6666666666666665,0.9333333333333332,0.9821958456973294
adenosine_deaminase,0.8571428571428571,0.875,4,3,py35,0.6,0.8794964028776977,0.9858156028368794
acid_sensing_ion_channel_3,0.8571428571428571,0.875,4,3,py35,0.6,0.991150442477876,0.982608695652174
telomerase_reverse_transcriptase,0.8461538461538459,0.8666666666666667,30,22,py27,0.8135593220338982,0.9266696087084436,0.9905417024935512
monoglyceride_lipase,0.8461538461538459,0.8666666666666667,30,22,py27,0.8421052631578948,0.9781758957654724,0.9928457869634341
vascular_endothelial_growth_factor_receptor_1,0.8358208955223881,0.8981532779316713,35,32,py35,0.823529411764706,0.962551114628677,0.9892665474060824
proteasome_subunit_beta_type_2,0.8333333333333333,0.8571428571428572,7,5,py35,0.7692307692307692,0.9984721161191752,0.9845360824742267
epithelial_discoidin_domain_containing_receptor_1,0.8235294117647058,0.9952978056426331,7,10,py35,0.4,0.9776085982982534,0.98159509202454
ectonucleotide_pyrophosphatase_phosphodiesterase_family_member_2,0.8095238095238096,0.8534760589318602,24,18,py27,0.7659574468085107,0.9773250460405156,0.9852941176470588
leucyl_cystinyl_aminopeptidase,0.8,0.996742671009772,4,6,py27,0.6,0.996742671009772,0.9871382636655948
gamma_aminobutyric_acid_receptor_subunit_beta_3,0.8,0.8333333333333333,9,6,py35,0.7619047619047621,0.9968971631205674,0.987012987012987
mitogen_activated_protein_kinase_kinase_kinase_7,0.7999999999999999,0.9229534510433388,7,8,py27,0.7142857142857143,0.731139646869984,0.9783783783783784
carbonic_anhydrase_6,0.7826086956521741,0.8877481600593728,23,23,py27,0.7346938775510203,0.9688910878842228,0.9820936639118456
cathepsin_g,0.7826086956521738,0.8727678571428571,12,11,py27,0.7000000000000001,0.9382440476190476,0.9869565217391304
